state,x,y
Andhra Pradesh,-78.0,-92.0
Arunachal Pradesh,154.0,116.0
Assam,119.0,83.0
Bihar,30.0,69.0
Chhattisgarh,-27.0,1.0
Goa,-145.0,-106.0
Gujarat,-181.0,26.0
Haryana,-101.0,126.0
Himachal Pradesh,-90.0,174.0
Jammu And Kashmir,-105.0,221.0
Jharkhand,16.0,37.0
Karnataka,-123.0,-122.0
Kerala,-111.0,-180.0
Madhya Pradesh,-97.0,25.0
Maharashtra,-126.0,-31.0
Manipur,157.0,54.0
Meghalaya,110.0,65.0
Mizoram,145.0,31.0
Nagaland,166.0,77.0
Odisha,3.0,-20.0
Punjab,-115.0,152.0
Rajasthan,-163.0,88.0
Sikkim,75.0,101.0
Tamil Nadu,-83.0,-182.0
Telangana,-72.0,-55.0
Tripura,125.0,37.0
Uttar Pradesh,-57.0,89.0
Uttarakhand,-52.0,139.0
West Bengal,60.0,21.0
